# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
-2.846723300569165716e+01,7.047537158328196938e+00,2.913716555064031155e+01,-3.328170469332188741e+00,-1.260317740170435741e-06,8.133039238807799887e-01,4.945273623533987362e+00,4.297299999999331654e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.846877429018611494e+01,7.042403485343692537e+00,2.913803162718261675e+01,-3.322900708824931826e+00,4.566608804122962439e-04,8.122118698892387689e-01,4.945398261960045616e+00,4.297299914659465370e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.847029305370951846e+01,7.037340840786834306e+00,2.913888453484106833e+01,-3.317704012391691215e+00,9.082217910426626517e-04,8.111349809049137605e-01,4.945520972538600901e+00,4.297299662445541735e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.847181072499690657e+01,7.032277878225386303e+00,2.913973631841846057e+01,-3.312507141222720275e+00,1.359786654149819363e-03,8.100580794404524942e-01,4.945643488892311090e+00,4.297299243351982989e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.847334867099031541e+01,7.027143233235141118e+00,2.914059895912282627e+01,-3.307236846621713688e+00,1.817719933420502976e-03,8.089659873022519987e-01,4.945767533655571313e+00,4.297298647931981352e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.847486414220369966e+01,7.022079630876175038e+00,2.914144847857851772e+01,-3.302039624230529213e+00,2.269292695322167042e-03,8.078890607878558283e-01,4.945889658828082069e+00,4.297297892740578051e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.847637852097452438e+01,7.017015711202203576e+00,2.914229687383729939e+01,-3.296842227811416226e+00,2.720869348199927984e-03,8.068121218791121096e-01,4.946011589781605267e+00,4.297296970682893402e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.847791312783549955e+01,7.011880096314135002e+00,2.914315607834958044e+01,-3.291571401280266596e+00,3.178814520594097637e-03,8.057199918565053354e-01,4.946135040899978463e+00,4.297295865223587086e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.847942530611674528e+01,7.006815538231770724e+00,2.914400220925378093e+01,-3.286373655064699140e+00,3.630398948387347779e-03,8.046430280706203808e-01,4.946256580684117665e+00,4.297294607094971353e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.848093639174930303e+01,7.001750663524179963e+00,2.914484721584565818e+01,-3.281175735529144433e+00,4.081987205648895944e-03,8.035660519761745890e-01,4.946377926255141944e+00,4.297293182113441357e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
-2.848246765884785958e+01,6.996614080846603301e+00,2.914570298381313052e+01,-3.275904379231674213e+00,4.539944083167379851e-03,8.024738843313655723e-01,4.946500783746575536e+00,4.297291566655681572e-01,1.000000000000000000e+00,9.098046086165980650e-01,5.061723322233831368e+00
