# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.182276050138186818e+01,-1.959126996971009760e+01,2.913717663772192168e+01,-3.328013297588599428e+00,1.615568875318329489e-06,3.456032120336684499e-01,5.666452284068527412e+00,6.416666666598201674e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.186055811019991424e+01,-1.954431789840053568e+01,2.914078791762926102e+01,-3.267849763477807201e+00,6.828301831119376608e-04,3.347208961397519777e-01,5.667683937065627120e+00,6.416653885169459892e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.189849944370834933e+01,-1.949700040592408001e+01,2.914430466906672024e+01,-3.207305130373198310e+00,1.368209066115122496e-03,3.237671063425056062e-01,5.668900842558242559e+00,6.416615338329981211e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.193611481910030747e+01,-1.944990324429903694e+01,2.914768335751576700e+01,-3.147128891520987182e+00,2.049267785531910802e-03,3.128774489946694048e-01,5.670087928055293602e+00,6.416551494990559157e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.197387250200788245e+01,-1.940244011119749246e+01,2.915096604353451681e+01,-3.086571926003752964e+00,2.734484693323824267e-03,3.019163685721789059e-01,5.671259963094651191e+00,6.416461552079948116e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.201153786245707167e+01,-1.935490419815703689e+01,2.915413131498543109e+01,-3.026009115159252971e+00,3.419616514524964623e-03,2.909517043137949122e-01,5.672409474301050025e+00,6.416345819387293814e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.204887855235003613e+01,-1.930759049557253348e+01,2.915716066179377464e+01,-2.965815484801565205e+00,4.100422077190496450e-03,2.800513840730327608e-01,5.673529545035746580e+00,6.416205244168850241e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.208635941781900769e+01,-1.925991000544446408e+01,2.916009179563952003e+01,-2.905241697509858056e+00,4.785376581792288864e-03,2.690797196918916501e-01,5.674634110671965104e+00,6.416038068246984749e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.212374753888289902e+01,-1.921215727001839113e+01,2.916290548068606014e+01,-2.844662745073906152e+00,5.470238306757080338e-03,2.581046173960669932e-01,5.675716115311183252e+00,6.415845079493642800e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.216081228786653057e+01,-1.916462861718182609e+01,2.916558538400573752e+01,-2.784453746946946140e+00,6.150767823690228564e-03,2.471940684188068948e-01,5.676769060710464387e+00,6.415627703818069238e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.219801507577355437e+01,-1.911673237306649042e+01,2.916816486713246093e+01,-2.723865174398403255e+00,6.835436896627300474e-03,2.362122573719763197e-01,5.677806046703295806e+00,6.415383227084001105e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.223512470044721923e+01,-1.906876442072259437e+01,2.917062687117731912e+01,-2.663272117061797672e+00,7.520005500005866317e-03,2.252271547635417981e-01,5.678820435561390489e+00,6.415112915678643224e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
2.227214102268642293e+01,-1.902072494008166004e+01,2.917297138690513947e+01,-2.602674802226417228e+00,8.204471065955704079e-03,2.142388095736131870e-01,5.679812215443538648e+00,6.414816762577400799e-02,0.000000000000000000e+00,1.386420135758931638e+00,2.514195410544850517e+00
