# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
1.659006642713046631e+01,2.509465699808087535e+01,3.008275442687892820e+01,5.175851718774993060e-06,4.412408576293103124e-07,3.720560131247563351e-02,1.153728193531003754e+00,9.835521676311853589e-02,1.000000000000000000e+00
1.362163565039004531e+01,2.695302262922454872e+01,2.999594609046006966e+01,3.488433003046646164e+00,2.973885756645932021e-01,-9.418140884022541126e-02,1.146114081224173464e+00,9.770611442636706334e-02,1.000000000000000000e+00
1.047402985330529468e+01,2.845709483374311688e+01,2.951477900947470800e+01,6.931106200505677606e+00,5.908761323345536054e-01,-2.227787255512311826e-01,1.123613993929426069e+00,9.578798416356137935e-02,1.000000000000000000e+00
7.190319333029755455e+00,2.959163576968116161e+01,2.865029442366860124e+01,1.028385290780576966e+01,8.766974644275974393e-01,-3.469026873123654542e-01,1.086893735145039175e+00,9.265758565844836592e-02,1.000000000000000000e+00
3.814328419244013890e+00,3.034676407893426742e+01,2.741841771871729705e+01,1.350481785702498172e+01,1.151284414406946288e+00,-4.650166602994997289e-01,1.036797845980597543e+00,8.838691595882869345e-02,1.000000000000000000e+00
3.899550670106214922e-01,3.071782879587827253e+01,2.583947801070913997e+01,1.655495862279243724e+01,1.411308619290885691e+00,-5.757457239209590183e-01,9.743182537044242641e-01,8.306053676826143095e-02,1.000000000000000000e+00
-3.039381215170329220e+00,3.070520295244064712e+01,2.393773151685234879e+01,1.939839107779944527e+01,1.653710960701626931e+00,-6.778830038400325275e-01,9.005649553772521188e-01,7.677307522867392320e-02,1.000000000000000000e+00
-6.431341904847221791e+00,3.031403448833997771e+01,2.174082147879630611e+01,2.200275333524795585e+01,1.875732590923797183e+00,-7.703944758335010690e-01,8.167364845668235729e-01,6.962670621064151466e-02,1.000000000000000000e+00
-9.745114762324636359e+00,2.955393749975696949e+01,1.927927503344697158e+01,2.433940621210059518e+01,2.074932022377086405e+00,-8.524163098654662374e-01,7.240943903199157372e-01,6.172897664822443037e-02,1.000000000000000000e+00
-1.294185961539026408e+01,2.843864590968836836e+01,1.658596846729103191e+01,2.638361344912423334e+01,2.249200491357508103e+00,-9.232506197444123597e-01,6.239391013673152298e-01,5.319074796477925304e-02,1.000000000000000000e+00
-1.598501044029659113e+01,2.698566326740146692e+01,1.369566849156528043e+01,2.811460036131142459e+01,2.396766957980148050e+00,-9.823566511345249719e-01,5.175911693709209782e-01,4.412459706159111567e-02,1.000000000000000000e+00
-1.884059448054433972e+01,2.521588342167985886e+01,1.064453982468448245e+01,2.951561064515265542e+01,2.516202948993623956e+00,-1.029342152213529094e+00,4.063735600274660520e-01,3.464330663618087058e-02,1.000000000000000000e+00
-2.147743261905315038e+01,2.315323536022535578e+01,7.469738420285313651e+00,3.057387776599595952e+01,2.606420118555258014e+00,-1.063952453112599894e+00,2.915991639784605849e-01,2.485880048858746250e-02,1.000000000000000000e+00
-2.386735047423865197e+01,2.082430037917876930e+01,4.208975699372880186e+00,3.128059005455525821e+01,2.666667272711799264e+00,-1.086060305463024678e+00,1.745589881131132670e-01,1.488113683108544666e-02,1.000000000000000000e+00
-2.598527667838523314e+01,1.825799754227584515e+01,9.002019656517958879e-01,3.163079955677473265e+01,2.696522598859182995e+00,-1.095655068389920661e+00,5.651606986487056616e-02,4.817989482554435599e-03,1.000000000000000000e+00
-2.780940388138876784e+01,1.548518669819874383e+01,-2.418813542912294778e+00,3.162333771851624320e+01,2.695886477870304887e+00,-1.092833430667502492e+00,-6.130322907299473600e-02,-5.226094341423813405e-03,1.000000000000000000e+00
-2.932120223866605713e+01,1.253842623680346868e+01,-5.710692169118207318e+00,3.126069348629134126e+01,2.664971092194228230e+00,-1.077790443918215102e+00,-1.777096346561890527e-01,-1.514972914375120605e-02,1.000000000000000000e+00
-3.050552534743212618e+01,9.451602297618189041e+00,-8.938813567976588104e+00,3.054889761310385055e+01,2.604290562940465570e+00,-1.050812134339670134e+00,-2.915565255299727432e-01,-2.485516556498327742e-02,1.000000000000000000e+00
-3.135063070526873119e+01,6.259651936352388368e+00,-1.206755792022871887e+01,2.949738754636693372e+01,2.514649431586998052e+00,-1.012269012772759380e+00,-4.017407987515104750e-01,-3.424836418607583172e-02,1.000000000000000000e+00
-3.184820260471062880e+01,2.998282543523222987e+00,-1.506255261571959991e+01,2.811887228115465831e+01,2.397131138733060940e+00,-9.626110109252971059e-01,-5.072039149708600370e-01,-4.323908462996289143e-02,1.000000000000000000e+00
