# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-1.551343908048802289e-01,-6.694766160640309993e-02,7.838431623342059784e-02,8.987629019315822310e-02,-1.196946950984089930e-01,4.046099043369714120e-03,-2.849198517663484656e-02,1.797539367226984319e-02
-1.533914818047853734e-01,-6.745728441050910518e-02,7.859247452838812042e-02,8.835316912067898987e-02,-1.187281447852423788e-01,3.781448090411847034e-03,-2.879245422543407276e-02,1.837734752153064727e-02
-1.516207647701467431e-01,-6.795464740422997585e-02,7.878635853357450480e-02,8.681404313519230920e-02,-1.177400613081945602e-01,3.509364217829587761e-03,-2.909527859971871092e-02,1.878615540494556202e-02
-1.498217526652471376e-01,-6.843936930069259572e-02,7.896557451459293442e-02,8.525869969404041571e-02,-1.167300176048336607e-01,3.229502911099455843e-03,-2.940053236347867430e-02,1.920210941305585881e-02
-1.479941366179322315e-01,-6.891099703988441683e-02,7.912969047792986488e-02,8.368708995757105640e-02,-1.156976795170005651e-01,2.941528543230066510e-03,-2.970825703938576728e-02,1.962547177042130164e-02
-1.461374903563686101e-01,-6.936908657553195190e-02,7.927826660786962965e-02,8.209907279040762340e-02,-1.146426401937266498e-01,2.645067253452587988e-03,-3.001851176653340045e-02,2.005654396810333667e-02
-1.442513111740331422e-01,-6.981318614188797289e-02,7.941084627072504676e-02,8.049445249531028690e-02,-1.135644413835472655e-01,2.339710819959602874e-03,-3.033136554563304818e-02,2.049565843367400636e-02
-1.423351945104105731e-01,-7.024279306277941837e-02,7.952694194347514900e-02,7.887312818213834675e-02,-1.124626726050024506e-01,2.025042882224882893e-03,-3.064686786125504769e-02,2.094313899144506497e-02
-1.403887063930417678e-01,-7.065738489761591579e-02,7.962604513987736610e-02,7.723498479840233688e-02,-1.113368985640174058e-01,1.700616749395984784e-03,-3.096506971879132292e-02,2.139933153586214346e-02
-1.384112955639063003e-01,-7.105643410570838814e-02,7.970762738767654676e-02,7.557982082453794381e-02,-1.101866071165455291e-01,1.365937953361010156e-03,-3.128603728315874910e-02,2.186462603224355664e-02
-1.364024705318599984e-01,-7.143936769662227737e-02,7.977112893748264377e-02,7.390749835281179569e-02,-1.090113108780771251e-01,1.020491000215344342e-03,-3.160982230844597979e-02,2.233941647090611007e-02
-1.343617585927615043e-01,-7.180557654896189967e-02,7.981596135857635388e-02,7.221790835893313054e-02,-1.078105236993834870e-01,6.637303077775434310e-04,-3.193646847128291805e-02,2.282411174753246758e-02
-1.322885734439770422e-01,-7.215443671501808875e-02,7.984150833131918590e-02,7.051086209231401114e-02,-1.065836820338020713e-01,2.950538484898347982e-04,-3.226603179970505969e-02,2.331916877202709626e-02
-1.301823959246280749e-01,-7.248527425228244725e-02,7.984711931694976617e-02,6.878624183094649014e-02,-1.053302504680614371e-01,-8.616885895235647241e-05,-3.259855085834123534e-02,2.382505138734165168e-02
-1.280425511530123572e-01,-7.279739864276325856e-02,7.983210878113092268e-02,6.704381903888363692e-02,-1.040495886160261452e-01,-4.806407732099761410e-04,-3.293408105008831938e-02,2.434228580149235682e-02
-1.258684820118800562e-01,-7.309005696788609119e-02,7.979575299214722306e-02,6.528347947279194985e-02,-1.027411130165796355e-01,-8.890922574656436039e-04,-3.327265029225795478e-02,2.487139712389559165e-02
-1.236595717763969149e-01,-7.336245940173641289e-02,7.973728844981547992e-02,6.350507890639808806e-02,-1.014041908658432078e-01,-1.312317894464659802e-03,-3.361428575666462054e-02,2.541295430285194987e-02
-1.214151006518409265e-01,-7.361377822035464202e-02,7.965590525525795274e-02,6.170841072266804173e-02,-1.000381118085507254e-01,-1.751191309678025443e-03,-3.395901875571814138e-02,2.596758393202399165e-02
-1.191343864438493133e-01,-7.384312605323267720e-02,7.955074703637496358e-02,5.989332095852956117e-02,-9.864217175822559414e-02,-2.206644734514234818e-03,-3.430686110406020589e-02,2.653593889329063440e-02
-1.168166973385885848e-01,-7.404956244001187349e-02,7.942090501578169537e-02,5.805963979245711004e-02,-9.721561884952920063e-02,-2.679692850095021298e-03,-3.465781646607294514e-02,2.711872310800533814e-02
-1.144613489490108327e-01,-7.423208080317515722e-02,7.926541966506675529e-02,5.620726010782897686e-02,-9.575771185699905041e-02,-3.171420897695326375e-03,-3.501186316820420474e-02,2.771667078965252273e-02
-1.120674318617876503e-01,-7.438962395034028063e-02,7.908325787789759198e-02,5.433592550306290403e-02,-9.426754987116725548e-02,-3.683050882577593686e-03,-3.536899214083717713e-02,2.833061985853182682e-02
-1.096341877886014560e-01,-7.452104865317536742e-02,7.887333238836628790e-02,5.244552867053380030e-02,-9.274430324746510412e-02,-4.215873693910940183e-03,-3.572914681460133413e-02,2.896142121186128307e-02
-1.071607852121992527e-01,-7.462513803631598552e-02,7.863448264901569396e-02,5.053593698482069380e-02,-9.118707323860218705e-02,-4.771307208786421984e-03,-3.609225282350619207e-02,2.961000053431587717e-02
