#  Xs,Ys,Zs
3.008275425996689023e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.987934543752394134e+01,3.492394606952855085e+00,0.000000000000000000e+00
2.927186972557413114e+01,6.937560567993087624e+00,0.000000000000000000e+00
2.826854219100670917e+01,1.028890792362482820e+01,0.000000000000000000e+00
2.688293111753461773e+01,1.350111545004504876e+01,0.000000000000000000e+00
2.513377451793289552e+01,1.653074355094963721e+01,0.000000000000000000e+00
2.304472673456145770e+01,1.933682170355161034e+01,0.000000000000000000e+00
2.064403855496228246e+01,2.188140251461928187e+01,0.000000000000000000e+00
1.796417516842291207e+01,2.413007489386996340e+01,0.000000000000000000e+00
1.504137712998344867e+01,2.605242940493586801e+01,0.000000000000000000e+00
1.191517026910103283e+01,2.762246950082282027e+01,0.000000000000000000e+00
8.627831170611854006e+00,2.881896308261236683e+01,0.000000000000000000e+00
5.223815456445253247e+00,2.962572962717644032e+01,0.000000000000000000e+00
1.749156599601724649e+00,3.003185900099468952e+01,0.000000000000000000e+00
-1.749156599601721096e+00,3.003185900099468952e+01,0.000000000000000000e+00
-5.223815456445256800e+00,2.962572962717644032e+01,0.000000000000000000e+00
-8.627831170611599987e+00,2.881896308261244499e+01,0.000000000000000000e+00
-1.191517026910102928e+01,2.762246950082282382e+01,0.000000000000000000e+00
-1.504137712998343801e+01,2.605242940493587156e+01,0.000000000000000000e+00
-1.796417516842290851e+01,2.413007489386997051e+01,0.000000000000000000e+00
-2.064403855496246365e+01,2.188140251461911134e+01,0.000000000000000000e+00
-2.304472673456128717e+01,1.933682170355181285e+01,0.000000000000000000e+00
-2.513377451793289552e+01,1.653074355094964076e+01,0.000000000000000000e+00
-2.688293111753461062e+01,1.350111545004505764e+01,0.000000000000000000e+00
-2.826854219100679444e+01,1.028890792362458839e+01,0.000000000000000000e+00
-2.927186972557407429e+01,6.937560567993340754e+00,0.000000000000000000e+00
-2.987934543752393779e+01,3.492394606952863967e+00,0.000000000000000000e+00
-3.008275425996689023e+01,3.684074871400485904e-15,0.000000000000000000e+00
-2.987934543752394134e+01,-3.492394606952856417e+00,0.000000000000000000e+00
-2.927186972557407429e+01,-6.937560567993347860e+00,0.000000000000000000e+00
-2.826854219100679089e+01,-1.028890792362459550e+01,0.000000000000000000e+00
-2.688293111753462128e+01,-1.350111545004503988e+01,0.000000000000000000e+00
-2.513377451793289907e+01,-1.653074355094963366e+01,0.000000000000000000e+00
-2.304472673456129073e+01,-1.933682170355180574e+01,0.000000000000000000e+00
-2.064403855496246720e+01,-2.188140251461910069e+01,0.000000000000000000e+00
-1.796417516842290496e+01,-2.413007489386997051e+01,0.000000000000000000e+00
-1.504137712998345933e+01,-2.605242940493586090e+01,0.000000000000000000e+00
-1.191517026910103638e+01,-2.762246950082282027e+01,0.000000000000000000e+00
-8.627831170611607092e+00,-2.881896308261244144e+01,0.000000000000000000e+00
-5.223815456445520589e+00,-2.962572962717639058e+01,0.000000000000000000e+00
-1.749156599601728201e+00,-3.003185900099468952e+01,0.000000000000000000e+00
1.749156599601717543e+00,-3.003185900099468952e+01,0.000000000000000000e+00
5.223815456445509042e+00,-2.962572962717639058e+01,0.000000000000000000e+00
8.627831170611596434e+00,-2.881896308261244499e+01,0.000000000000000000e+00
1.191517026910102572e+01,-2.762246950082282382e+01,0.000000000000000000e+00
1.504137712998344512e+01,-2.605242940493586801e+01,0.000000000000000000e+00
1.796417516842289785e+01,-2.413007489386997761e+01,0.000000000000000000e+00
2.064403855496246010e+01,-2.188140251461911134e+01,0.000000000000000000e+00
2.304472673456127296e+01,-1.933682170355182706e+01,0.000000000000000000e+00
2.513377451793288486e+01,-1.653074355094965497e+01,0.000000000000000000e+00
2.688293111753461062e+01,-1.350111545004506119e+01,0.000000000000000000e+00
2.826854219100679444e+01,-1.028890792362459194e+01,0.000000000000000000e+00
2.927186972557407074e+01,-6.937560567993357630e+00,0.000000000000000000e+00
2.987934543752393779e+01,-3.492394606952867075e+00,0.000000000000000000e+00
3.008275425996689023e+01,0.000000000000000000e+00,0.000000000000000000e+00
