#  Xs,Ys,Zs
-1.136400456186201602e+01,-2.585704500026227137e+01,0.000000000000000000e+00
-1.112111890781596379e+01,-2.583026828166546807e+01,0.000000000000000000e+00
-1.087743993349423555e+01,-2.580165301229627062e+01,0.000000000000000000e+00
-1.063297767419035900e+01,-2.577117747751913512e+01,0.000000000000000000e+00
-1.038773846105207532e+01,-2.573881918918265299e+01,0.000000000000000000e+00
-1.014173051657421709e+01,-2.570455553393109582e+01,0.000000000000000000e+00
-9.894962570349997932e+00,-2.566836361719347437e+01,0.000000000000000000e+00
-9.647441100324391172e+00,-2.563021982894657924e+01,0.000000000000000000e+00
-9.399175899915480414e+00,-2.559010066136379535e+01,0.000000000000000000e+00
-9.150177307832919382e+00,-2.554798233502573979e+01,0.000000000000000000e+00
-8.900453463439815138e+00,-2.550384030475469999e+01,0.000000000000000000e+00
-8.650014472833959189e+00,-2.545764993941434895e+01,0.000000000000000000e+00
-8.398872410923898357e+00,-2.540938657646265852e+01,0.000000000000000000e+00
-8.147035838818487363e+00,-2.535902445915202463e+01,0.000000000000000000e+00
-7.894516699351855848e+00,-2.530653803640417721e+01,0.000000000000000000e+00
-7.641327574349635832e+00,-2.525190146958818715e+01,0.000000000000000000e+00
-7.387478975434559558e+00,-2.519508801689353206e+01,0.000000000000000000e+00
-7.132984825716872201e+00,-2.513607121788387033e+01,0.000000000000000000e+00
-6.877857022354867844e+00,-2.507482367811237722e+01,0.000000000000000000e+00
-6.622110894033482076e+00,-2.501131833661136383e+01,0.000000000000000000e+00
-6.365758440975373134e+00,-2.494552681687375184e+01,0.000000000000000000e+00
-6.108816474208184744e+00,-2.487742144992802551e+01,0.000000000000000000e+00
-5.851299873114305328e+00,-2.480697357415348847e+01,0.000000000000000000e+00
-5.593222977626411740e+00,-2.473415382086358960e+01,0.000000000000000000e+00
-5.334603625956877870e+00,-2.465893324954088328e+01,0.000000000000000000e+00
-5.075457817675788519e+00,-2.458128184400880656e+01,0.000000000000000000e+00
-4.815803747906684862e+00,-2.450116965891606924e+01,0.000000000000000000e+00
-4.555661805478021797e+00,-2.441856688053664826e+01,0.000000000000000000e+00
-4.295047992472882825e+00,-2.433344170992639732e+01,0.000000000000000000e+00
-4.033984522074480772e+00,-2.424576373061241341e+01,0.000000000000000000e+00
-3.772490604693129246e+00,-2.415550093165663981e+01,0.000000000000000000e+00
-3.510587744616327832e+00,-2.406262142851223018e+01,0.000000000000000000e+00
-3.248298441543174153e+00,-2.396709304828933540e+01,0.000000000000000000e+00
-2.985646212268303401e+00,-2.386888334063624484e+01,0.000000000000000000e+00
-2.722654327764657989e+00,-2.376795908972283300e+01,0.000000000000000000e+00
-2.459348421622266745e+00,-2.366428729300015377e+01,0.000000000000000000e+00
-2.195752664715542313e+00,-2.355783366466768669e+01,0.000000000000000000e+00
-1.931894916764389736e+00,-2.344856466769633485e+01,0.000000000000000000e+00
-1.667802906986060263e+00,-2.333644600781472889e+01,0.000000000000000000e+00
-1.403504287921607085e+00,-2.322144259422702461e+01,0.000000000000000000e+00
-1.139029189509328299e+00,-2.310351962809267334e+01,0.000000000000000000e+00
-8.744089702972237532e-01,-2.298264209726537644e+01,0.000000000000000000e+00
-6.096750065961606957e-01,-2.285877420741390864e+01,0.000000000000000000e+00
-3.448599804928105805e-01,-2.273187994106982757e+01,0.000000000000000000e+00
-7.999912832349979908e-02,-2.260192368179645683e+01,0.000000000000000000e+00
1.848721975446158128e-01,-2.246886905167081494e+01,0.000000000000000000e+00
4.497184665904002121e-01,-2.233267887676095143e+01,0.000000000000000000e+00
7.145003063493642337e-01,-2.219331706973094853e+01,0.000000000000000000e+00
9.791793183751535956e-01,-2.205074616000292664e+01,0.000000000000000000e+00
1.243713237517449111e+00,-2.190492984902974527e+01,0.000000000000000000e+00
1.508061863462719865e+00,-2.175582978538901457e+01,0.000000000000000000e+00
1.772178737010555505e+00,-2.160341019908132054e+01,0.000000000000000000e+00
2.036021711634198983e+00,-2.144763190896384941e+01,0.000000000000000000e+00
2.299541206954162753e+00,-2.128845911105153021e+01,0.000000000000000000e+00
2.562689531178901969e+00,-2.112585396241253477e+01,0.000000000000000000e+00
2.825417323729931152e+00,-2.095977862146293802e+01,0.000000000000000000e+00
3.087671278302071887e+00,-2.079019674646436400e+01,0.000000000000000000e+00
3.349399779524600884e+00,-2.061706990330333866e+01,0.000000000000000000e+00
3.610546104904990283e+00,-2.044036197402185806e+01,0.000000000000000000e+00
3.871052920720254420e+00,-2.026003628037464210e+01,0.000000000000000000e+00
4.130861122109473982e+00,-2.007605634089787827e+01,0.000000000000000000e+00
4.389909806365653644e+00,-1.988838590477162782e+01,0.000000000000000000e+00
4.648136246465469412e+00,-1.969698898685143007e+01,0.000000000000000000e+00
4.905474810699113952e+00,-1.950183071256473966e+01,0.000000000000000000e+00
5.161859077413771146e+00,-1.930287576917627845e+01,0.000000000000000000e+00
5.417217626895430627e+00,-1.910009170997676620e+01,0.000000000000000000e+00
5.671481332862009950e+00,-1.889344327068958407e+01,0.000000000000000000e+00
5.924574027269593479e+00,-1.868289985395540853e+01,0.000000000000000000e+00
6.176421748742634499e+00,-1.846842808567136274e+01,0.000000000000000000e+00
6.426945585761615121e+00,-1.824999774598987301e+01,0.000000000000000000e+00
6.676064757465947075e+00,-1.802757932441599209e+01,0.000000000000000000e+00
6.923695635532640225e+00,-1.780114495484362536e+01,0.000000000000000000e+00
7.169753690939101531e+00,-1.757066671020384163e+01,0.000000000000000000e+00
7.414151544247251202e+00,-1.733611841992807001e+01,0.000000000000000000e+00
7.656797168254749764e+00,-1.709747760765506541e+01,0.000000000000000000e+00
7.897600452167987228e+00,-1.685471917634145811e+01,0.000000000000000000e+00
8.136463954663438969e+00,-1.660782465858513035e+01,0.000000000000000000e+00
8.373291258094191392e+00,-1.635677401281913390e+01,0.000000000000000000e+00
8.607982413815181033e+00,-1.610155032210478510e+01,0.000000000000000000e+00
8.840434937359534118e+00,-1.584213897124534753e+01,0.000000000000000000e+00
9.070543041966800502e+00,-1.557852872113702603e+01,0.000000000000000000e+00
9.298201101840961158e+00,-1.531070790400763215e+01,0.000000000000000000e+00
9.523297015646457808e+00,-1.503867234793129448e+01,0.000000000000000000e+00
9.745720645192070819e+00,-1.476241564961791042e+01,0.000000000000000000e+00
9.965356492733375759e+00,-1.448193816590273109e+01,0.000000000000000000e+00
