# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-1.488073036036964281e+00,5.836098242656960755e-01,1.420102248931907951e+00,-5.971297151045839025e-01,-4.262716193665261333e-01,2.453812641789397286e+00,2.411509211664799590e+00,-1.327211190173567923e+00
-1.515314091928295914e+00,5.578478561871661467e-01,1.444568601342747671e+00,-5.720809073504965481e-01,-4.396771762427327257e-01,2.313854596932006125e+00,2.468641543165329910e+00,-1.284905376750875572e+00
-1.541558774746015992e+00,5.310020075595103251e-01,1.468054987211330209e+00,-5.459480222891908152e-01,-4.529038523915763226e-01,2.172957757069011731e+00,2.522733917182633956e+00,-1.241728588286017620e+00
-1.566720367224579302e+00,5.030990238625421274e-01,1.490481201471683725e+00,-5.187562412685856605e-01,-4.659174681123023909e-01,2.031184338278488877e+00,2.573762448047107743e+00,-1.197699890433303604e+00
-1.590712897892385902e+00,4.741711064654840491e-01,1.511767967605323726e+00,-4.905361423299051671e-01,-4.786832636707257782e-01,1.888596943711089882e+00,2.621704602996033806e+00,-1.152838725026246181e+00
-1.613451770866646706e+00,4.442559788936026877e-01,1.531837531079649928e+00,-4.613237745055274175e-01,-4.911661074903350688e-01,1.745258535946260015e+00,2.666539212123413272e+00,-1.107164901492597053e+00
-1.634854420101322647e+00,4.133968997437566517e-01,1.550614273479466787e+00,-4.311606797921064826e-01,-5.033307210230021367e-01,1.601232409189722983e+00,2.708246477728001533e+00,-1.060698588107056750e+00
-1.654840980196814915e+00,3.816426183318625265e-01,1.568025339766232928e+00,-4.000938588207821334e-01,-5.151419181651216705e-01,1.456582161324554425e+00,2.746807983055413960e+00,-1.013460303085536474e+00
-1.673334964941266767e+00,3.490472699797207978e-01,1.584001270253793114e+00,-3.681756770469581941e-01,-5.265648566327513214e-01,1.311371665828140909e+00,2.782206700430451818e+00,-9.654709055248897887e-01
-1.690263943960139681e+00,3.156702088218353297e-01,1.598476628186316528e+00,-3.354637092317058755e-01,-5.375652982846987893e-01,1.165665043567452486e+00,2.814426998776032640e+00,-9.167515861921229359e-01
-1.705560207241927806e+00,2.815757771170493973e-01,1.611390613279551465e+00,-3.020205210683502561e-01,-5.481098750016747401e-01,1.019526634485069971e+00,2.843454650515448101e+00,-8.673238581671482983e-01
