# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-6.152771363385262093e-01,-8.009632194963447471e-01,8.215123384425444542e-01,4.670135316945189796e-01,-3.565443485567567627e-01,-2.708005448466835219e+00,5.476694782602113065e+00,1.169991320387871125e+00
-5.791147193673531479e-01,-8.267488501772140008e-01,8.013858998943192979e-01,5.056387130497155269e-01,-3.478471658261328425e-01,-2.930183156085474749e+00,5.343534852122723500e+00,1.266423795810740938e+00
-5.418197668360386077e-01,-8.509176733757698452e-01,7.796922486879176439e-01,5.432750594608758421e-01,-3.384697234631968144e-01,-3.147031051588998096e+00,5.199672115854946597e+00,1.360553472994177726e+00
-5.034632471450364299e-01,-8.734193357157545856e-01,7.564709796429901489e-01,5.798469967009888260e-01,-3.284291317815647981e-01,-3.358115429579733746e+00,5.045341437304333709e+00,1.452192128421317507e+00
-4.641184652748635564e-01,-8.942064629830873690e-01,7.317647831751186160e-01,6.152806673261665971e-01,-3.177438445810669698e-01,-3.563009574323571016e+00,4.880798720664852652e+00,1.541154553228072155e+00
-4.238609489578502587e-01,-9.132347795572391957e-01,7.056193967318167282e-01,6.495040869569870257e-01,-3.064336382096559119e-01,-3.761294643119372783e+00,4.706320855908590062e+00,1.627258936255584487e+00
-3.827680665202566890e-01,-9.304633271808623318e-01,6.780833713367413473e-01,6.824475037397085275e-01,-2.945195106137717955e-01,-3.952561752641165604e+00,4.522204428366990214e+00,1.710327769622025595e+00
-3.409192318152345913e-01,-9.458543968676507152e-01,6.492082158032264072e-01,7.140432502221164546e-01,-2.820237437542883474e-01,-4.136411147064287697e+00,4.328766947205502369e+00,1.790187487109477615e+00
-2.983958710652245827e-01,-9.593736282432953066e-01,6.190484075335693781e-01,7.442258474148489844e-01,-2.689699083676101443e-01,-4.312452838695611135e+00,4.126347191475022491e+00,1.866668741666216880e+00
-2.552807504631914304e-01,-9.709902859144059484e-01,5.876609398088116221e-01,7.729325388173029499e-01,-2.553826680839028640e-01,-4.480309783479661689e+00,3.915302438245539030e+00,1.939607784338778895e+00
